title,link,guid,atom,description,creator,pubDate,category,media_content,media_credit,media_description
Facebook Tightens Rules on Verifying Political Advertisers,https://www.nytimes.com/2019/08/28/technology/facebook-election-advertising-disinformation.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/28/technology/facebook-election-advertising-disinformation.html,https://www.nytimes.com/2019/08/28/technology/facebook-election-advertising-disinformation.html?emc=rss&partner=rss,"Bracing for the 2020 U.S. presidential election, the company adds more steps for buyers of political ads. Disinformation experts aren’t sure it is enough.",Davey Alba,"Wed, 28 Aug 2019 19:29:15 +0000","['Facebook Inc', 'Political Advertising', 'Online Advertising', 'Social Media', 'Presidential Election of 2020', 'Midterm Elections (2018)', 'United States Politics and Government', 'Rumors and Misinformation']",https://static01.nyt.com/images/2019/08/28/world/28facebook-1/28facebook-1-moth.jpg,Paulo Nunes dos Santos for The New York Times,"Facebook’s election integrity center in Dublin in May. The social network has worked to secure its site during elections, setting up so-called war rooms to handle false content and bad ads."
Philip Morris and Altria Are in Talks to Merge,https://www.nytimes.com/2019/08/27/health/philip-morris-altria-merger-tobacco.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/27/health/philip-morris-altria-merger-tobacco.html,https://www.nytimes.com/2019/08/27/health/philip-morris-altria-merger-tobacco.html?emc=rss&partner=rss,"With Altria’s investment in Juul, a combination of the tobacco giants would dominate the international market for e-cigarettes.",Sheila Kaplan,"Wed, 28 Aug 2019 04:17:41 +0000","['Smoking and Tobacco', 'E-Cigarettes', 'Mergers, Acquisitions and Divestitures', 'Regulation and Deregulation of Industry', 'Marijuana', 'Altria Group Inc', 'Juul Labs Inc', 'Philip Morris Companies Inc', 'your-feed-healthcare']",https://static01.nyt.com/images/2019/08/27/science/27TOBACCO2/27TOBACCO2-moth.jpg,Khue Bui for The New York Times,"With its global reach, Philip Morris is now much larger than its former parent, Altria."
Telegram Pushes Ahead With Plans for ‘Gram’ Cryptocurrency,https://www.nytimes.com/2019/08/27/technology/telegram-cryptocurrency-gram.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/27/technology/telegram-cryptocurrency-gram.html,https://www.nytimes.com/2019/08/27/technology/telegram-cryptocurrency-gram.html?emc=rss&partner=rss,"When Facebook announced plans for a similar effort this year, the regulatory pushback was fierce. But Telegram appears undeterred.",Nathaniel Popper,"Wed, 28 Aug 2019 20:39:04 +0000","['Virtual Currency', 'Libra (Currency)', 'Regulation and Deregulation of Industry', 'Telegram LLC', 'Facebook Inc', 'Durov, Pavel Valeryevich (1984- )']"
Former Star Google and Uber Engineer Charged With Theft of Trade Secrets,https://www.nytimes.com/2019/08/27/technology/google-trade-secrets-levandowski.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/27/technology/google-trade-secrets-levandowski.html,https://www.nytimes.com/2019/08/27/technology/google-trade-secrets-levandowski.html?emc=rss&partner=rss,"Anthony Levandowski, one of Silicon Valley’s foremost technologists on autonomous cars, was charged with theft and attempted theft of trade secrets from Google.",Mike Isaac,"Wed, 28 Aug 2019 12:31:17 +0000","['Levandowski, Anthony', 'Driverless and Semiautonomous Vehicles', 'Automobiles', 'Car Services and Livery Cabs', 'Computers and the Internet', 'Start-ups', 'Suits and Litigation (Civil)', 'Google Inc', 'Uber Technologies Inc', 'Waymo', 'Alphabet Inc', 'Silicon Valley (Calif)', 'Intellectual Property', 'Robberies and Thefts']",https://static01.nyt.com/images/2019/08/27/business/27levandowski3/27levandowski3-moth.jpg,Jason Henry for The New York Times,"Anthony Levandowski, who was a star engineer at Google and Uber specializing in self-driving technologies, with his lawyer Miles Ehrlich on Tuesday in San Jose."
The Baroness Fighting to Protect Children Online,https://www.nytimes.com/2019/08/27/technology/baroness-kidron-children-tech.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/27/technology/baroness-kidron-children-tech.html,https://www.nytimes.com/2019/08/27/technology/baroness-kidron-children-tech.html?emc=rss&partner=rss,"Beeban Kidron says tech giants exert too much leverage over young users and has pushed laws to change that. “It’s little Timmy in his bedroom versus Mark Zuckerberg in his Valley,” she said.",Natasha Singer,"Tue, 27 Aug 2019 16:25:33 +0000","['Kidron, Beeban', 'Computers and the Internet', 'Children and Childhood', 'Data-Mining and Database Marketing', 'Social Media', 'Privacy', 'Mobile Applications', 'Legislatures and Parliaments', 'Regulation and Deregulation of Industry']",https://static01.nyt.com/images/2019/08/07/business/07kidsprivacy/07kidsprivacy-moth-v2.jpg,Eleonora Agostini for The New York Times,Beeban Kidron has successfully pushed stricter limits on how tech companies can target children online in Britain.
Netflix Falls Short in Big Screen Debut of ‘The Irishman’,https://www.nytimes.com/2019/08/27/business/media/netflix-scorsese-the-irishman.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/27/business/media/netflix-scorsese-the-irishman.html,https://www.nytimes.com/2019/08/27/business/media/netflix-scorsese-the-irishman.html?emc=rss&partner=rss,"Martin Scorsese’s “The Irishman” will debut in select theaters three weeks ahead of its Netflix release, a shorter run than Netflix had hoped.",Nicole Sperling,"Thu, 29 Aug 2019 17:57:01 +0000","['Movies', 'The Irishman (Movie)', 'Video Recordings, Downloads and Streaming', 'Netflix Inc', 'Cineplex Inc', 'Scorsese, Martin', 'Stuber, Scott', 'De Niro, Robert', 'Pacino, Al', 'AMC Entertainment Holding Inc.']",https://static01.nyt.com/images/2019/08/23/business/00NETFLIXIRISHMAN-01/00NETFLIXIRISHMAN-01-moth.jpg,Niko Tavernise/Netflix,Joe Pesci and Robert DeNiro in “The Irishman.”
Is It Time to Upend the Periodic Table?,https://www.nytimes.com/2019/08/27/science/periodic-table-elements-chemistry.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/27/science/periodic-table-elements-chemistry.html,https://www.nytimes.com/2019/08/27/science/periodic-table-elements-chemistry.html?emc=rss&partner=rss,"The iconic chart of elements has served chemistry well for 150 years. But it’s not the only option out there, and scientists are pushing its limits.",Siobhan Roberts,"Thu, 29 Aug 2019 19:01:08 +0000","['Chemistry', 'Physics', 'American Chemical Society', 'Case Western Reserve University', 'United Nations Educational, Scientific and Cultural Organization', 'your-feed-science']",https://static01.nyt.com/images/2019/08/27/science/27PERIODICTABLE/27PERIODICTABLE-moth.jpg,Alex Eben Meyer
Cadillac’s Last Stand? Storied Brand Aims (Again) for Revival,https://www.nytimes.com/2019/08/27/business/cadillac-brand.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/27/business/cadillac-brand.html,https://www.nytimes.com/2019/08/27/business/cadillac-brand.html?emc=rss&partner=rss,"Once the epitome of luxury, the high-end General Motors line is attempting another makeover to catch up with rivals that have overtaken it.",Neal E. Boudette,"Fri, 30 Aug 2019 14:37:47 +0000","['General Motors', 'Cadillac Division of General Motors Corp', 'Automobiles', 'Driverless and Semiautonomous Vehicles', 'Sports Utility Vehicles and Light Trucks', 'Electric and Hybrid Vehicles', 'Luxury Goods and Services', 'Advertising and Marketing', 'Tesla Motors Inc']",https://static01.nyt.com/images/2019/08/23/business/00cadillac3/00cadillac3-moth-v2.jpg,Nick Hagen for The New York Times,"A Cadillac CT6 in Detroit. Although it is equipped with the Super Cruise driver-assistance system, the model’s sales have fallen 60 percent this year, and General Motors may halt production."
Lawsuit Over Computer Chips Invokes Trade War With China,https://www.nytimes.com/2019/08/26/technology/globalfoundries-tsmc-lawsuit-computer-chips.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/26/technology/globalfoundries-tsmc-lawsuit-computer-chips.html,https://www.nytimes.com/2019/08/26/technology/globalfoundries-tsmc-lawsuit-computer-chips.html?emc=rss&partner=rss,"Globalfoundries has accused T.S.M.C., a competitor in Taiwan, of infringing on 16 patents in a suit that could also affect companies like Apple and Google.",Don Clark,"Mon, 26 Aug 2019 21:52:07 +0000","['Computer Chips', 'International Trade and World Market', 'Inventions and Patents', 'Suits and Litigation (Civil)', 'Apple Inc', 'Taiwan Semiconductor Manufacturing Company Ltd', 'GlobalFoundries', 'China']",https://static01.nyt.com/images/2019/08/26/business/26chip/26chip-moth.jpg,Ashley Pon/Bloomberg,"The Taiwan Semiconductor Manufacturing Company’s headquarters in Hsinchu, Taiwan. The company is a huge manufacturer of chips designed by other companies."
Google Tries to Corral Its Staff After Ugly Internal Debates,https://www.nytimes.com/2019/08/23/technology/google-culture-rules.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/23/technology/google-culture-rules.html,https://www.nytimes.com/2019/08/23/technology/google-culture-rules.html?emc=rss&partner=rss,"The tech company, telling its employees to “stop disrupting the workday,” issued new workplace rules designed to rein in its freewheeling culture.",Jack Nicas,"Fri, 23 Aug 2019 20:21:27 +0000","['Google Inc', 'Workplace Environment', 'Computers and the Internet']",https://static01.nyt.com/images/2019/08/23/business/23GOOGLE1/23GOOGLE1-moth.jpg,Amy Osborne/Agence France-Presse — Getty Images,Google is setting new rules to restrain freewheeling discussions among its employees during their work hours.
Qualcomm Wins Reprieve in F.T.C. Antitrust Case With Appeals Court Ruling,https://www.nytimes.com/2019/08/23/technology/qualcomm-ftc-antitrust-injunction.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/23/technology/qualcomm-ftc-antitrust-injunction.html,https://www.nytimes.com/2019/08/23/technology/qualcomm-ftc-antitrust-injunction.html?emc=rss&partner=rss,A federal appeals court ruled that the chip maker did not have to modify key business practices while the court reviews a lower-court ruling against the company.,Don Clark,"Fri, 23 Aug 2019 20:09:45 +0000","['Cellular Telephones', 'Antitrust Laws and Competition Issues', 'Decisions and Verdicts', 'Computer Chips', 'Wireless Communications', 'Royalties', 'Smartphones', 'Computers and the Internet', 'Federal Trade Commission', 'Qualcomm Inc', 'Koh, Lucy H']",https://static01.nyt.com/images/2019/08/23/business/23qualcomm2/23qualcomm2-moth.jpg,Aly Song/Reuters,A federal appeals court stayed a lower-court ruling that would force Qualcomm to alter business practices the Federal Trade argues are anticompetitive.
"As Amazon Fires Spread, So Do the Misleading Photos",https://www.nytimes.com/2019/08/23/world/americas/amazon-rainforest-fire-photos.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/23/world/americas/amazon-rainforest-fire-photos.html,https://www.nytimes.com/2019/08/23/world/americas/amazon-rainforest-fire-photos.html?emc=rss&partner=rss,"The fires are real. But the photographs that celebrities and politicians are sharing? Well, it depends.",Niraj Chokshi,"Sat, 24 Aug 2019 03:42:22 +0000","['Brazil', 'Fires and Firefighters', 'Photography', 'Computers and the Internet', 'Ronaldo, Cristiano', 'Macron, Emmanuel (1977- )', 'DiCaprio, Leonardo']"
Facebook Bans Ads From The Epoch Times,https://www.nytimes.com/2019/08/23/technology/facebook-ads-epoch-times.html?emc=rss&partner=rss,https://www.nytimes.com/2019/08/23/technology/facebook-ads-epoch-times.html,https://www.nytimes.com/2019/08/23/technology/facebook-ads-epoch-times.html?emc=rss&partner=rss,The social network has struggled to implement a consistent political advertising policy as groups appear able to get around its transparency rules.,Davey Alba,"Fri, 23 Aug 2019 21:07:10 +0000","['Facebook Inc', 'Epoch Times', 'Censorship', 'Online Advertising', 'Social Media', 'News and News Media', 'Political Advertising', 'Falun Gong']"
